no,x,y,z,flight
1,101.6554829,2.909703,26,1
2,101.6554266,2.9096749,26,1
3,101.6553696,2.9096407,26,1
4,101.6553153,2.9096072,28,1
5,101.655257,2.9095711,30,1
6,101.6552576,2.9095028,30,1
7,101.6553297,2.9095413,30,1
8,101.6553904,2.9095778,32,1
9,101.6554487,2.9096099,32,1
10,101.6555024,2.9096427,32,1
11,101.6555279,2.9095798,32,1
12,101.6554709,2.9095456,32,1
13,101.6554179,2.9095175,30,1
14,101.6553495,2.9094813,26,1
15,101.6552711,2.9094485,26,1
16,101.6551832,2.909415,26,1
17,101.6551819,2.9093327,26,1
18,101.6552905,2.9093702,26,1
19,101.6553696,2.9093976,28,1
20,101.6554494,2.9094325,28,1
