id,x,y,z,flight,mission
1,101.9914238,2.582921177,89.89512,15,4
2,101.9914297,2.584041052,82.61094,12,4
3,101.9914297,2.584517419,83.65391,11,4
4,101.99143,2.58258121,84.77891,15,4
5,101.9914321,2.585362944,71.34824,10,4
6,101.9914326,2.582882168,89.34141,15,4
7,101.9914338,2.583125002,90.60215,15,4
8,101.9914349,2.582190351,77.49961,14,4
9,101.9914362,2.583541952,84.85801,16,4
10,101.9914369,2.584933852,83.0416,10,4
11,101.9914395,2.584446635,83.50449,11,4
12,101.99144,2.58305861,90.53867,15,4
13,101.9914413,2.583969494,82.1207,12,4
14,101.9914436,2.583623585,83.95078,16,4
15,101.9914462,2.58437456,83.62266,11,4
16,101.9914505,2.583719685,83.38145,16,4
17,101.9914511,2.584302485,83.32188,12,4
18,101.9914513,2.582843935,88.76035,15,4
19,101.9914531,2.583913435,81.9957,12,4
20,101.9914547,2.582673693,86.18223,15,4
21,101.9914557,2.58423041,83.53184,12,4
22,101.9914565,2.583000227,90.65781,15,4
23,101.9914611,2.584158335,83.34727,12,4
24,101.9914611,2.584662344,84.99082,11,4
25,101.9914624,2.582752227,86.88438,15,4
26,101.9914624,2.585167644,77.77988,10,4
27,101.9914716,2.583356468,86.81992,15,4
28,101.9914719,2.585299652,73.72129,10,4
29,101.9914729,2.584087552,83.44492,12,4
30,101.9914744,2.584761285,85.01426,11,4
31,101.9914752,2.582975427,90.06895,15,4
32,101.9914803,2.582546076,83.33164,15,4
33,101.9914811,2.582626676,84.775,15,4
34,101.9914832,2.584833877,84.775,10,4
35,101.991485,2.585083944,80.82383,10,4
36,101.9914873,2.583297827,87.11777,15,4
37,101.9914878,2.584017027,83.08945,12,4
38,101.9914883,2.584981386,83.0582,10,4
39,101.9914891,2.582927118,89.23887,15,4
40,101.9914911,2.584594402,84.82969,11,4
41,101.9914922,2.58346161,85.45957,15,4
42,101.9914927,2.584691535,85.03184,11,4
43,101.991494,2.584533952,84.93711,11,4
44,101.9914958,2.584461102,84.53281,11,4
45,101.991496,2.582231426,77.52598,14,4
46,101.9914981,2.583401418,85.76817,15,4
47,101.9914999,2.582731818,86.29551,15,4
48,101.9915009,2.583189585,89.01035,15,4
49,101.9915011,2.584392127,84.64317,11,4
50,101.9915011,2.585387486,71.29551,10,4
51,101.9915019,2.582809577,86.90977,15,4
52,101.9915017,2.584225568,83.78086,12,4
53,101.9915058,2.58416686,83.53184,12,4
54,101.9915065,2.582352068,79.24766,14,4
55,101.9915137,2.583524127,84.1666,15,4
56,101.9915202,2.58428001,83.98301,12,4
57,101.9915243,2.583374293,85.91074,15,4
58,101.9915253,2.584891485,84.90391,10,4
59,101.9915256,2.582682993,85.1041,14,4
60,101.9915289,2.582597485,83.14024,15,4
61,101.9915291,2.585186761,77.85899,10,4
62,101.991532,2.584079027,83.25352,12,4
63,101.991534,2.58299041,89.11582,15,4
64,101.9915351,2.584326252,84.1041,12,4
65,101.9915356,2.58462876,84.98496,11,4
66,101.9915358,2.585327036,74.27793,10,4
67,101.9915366,2.58325081,87.19395,15,4
68,101.9915374,2.584419252,84.65977,11,4
69,101.9915387,2.583823535,82.63145,12,4
70,101.9915397,2.582869768,87.18027,15,4
71,101.9915402,2.583885794,82.23692,12,4
72,101.9915425,2.58454506,84.93613,11,4
73,101.9915433,2.583751718,83.03574,12,4
74,101.9915438,2.584148519,83.39707,12,4
75,101.9915438,2.584788152,85.56797,11,4
76,101.9915492,2.584719435,85.53965,11,4
77,101.9915492,2.585112361,80.77793,10,4
78,101.9915497,2.584485385,84.81602,11,4
79,101.9915543,2.582268626,77.4957,14,4
80,101.9915551,2.583679643,83.14317,12,4
81,101.9915556,2.582750418,85.25156,13,4
82,101.9915556,2.583052927,89.06699,15,4
83,101.9915556,2.585260127,76.28867,10,4
84,101.9915574,2.585022461,83.05137,10,4
85,101.9915659,2.585416677,71.29063,10,4
86,101.9915669,2.582389268,79.24082,14,4
87,101.991569,2.583319268,85.77695,15,4
88,101.9915695,2.583612218,83.1832,12,4
89,101.991572,2.582648635,82.90977,14,4
90,101.9915728,2.58292996,87.01817,15,4
91,101.9915746,2.585195027,77.85899,10,4
92,101.9915769,2.584257535,83.53281,12,4
93,101.9915772,2.584852735,85.48496,10,4
94,101.9915787,2.584936694,84.63438,10,4
95,101.9915795,2.582490276,81.00645,14,4
96,101.9915808,2.584212327,83.33652,12,4
97,101.9915844,2.583195527,87.23594,15,4
98,101.9915867,2.583901552,81.31699,12,4
99,101.991588,2.582449976,80.50156,14,4
100,101.9915887,2.583833094,81.57969,12,4
101,101.9915893,2.58281526,85.41563,13,4
102,101.9915911,2.584658727,85.6666,11,4
103,101.9915934,2.583542985,83.07481,12,4
104,101.9915962,2.583974144,81.14024,12,4
105,101.9915962,2.584592077,85.28672,11,4
106,101.9916003,2.584528527,85.01621,11,4
107,101.9916013,2.583759727,81.4332,12,4
108,101.9916021,2.584337619,84.21445,12,4
109,101.9916054,2.585351836,74.15488,10,4
110,101.991606,2.584432427,84.59629,11,4
111,101.9916095,2.58230686,77.27598,14,4
112,101.9916113,2.58252696,81.12363,14,4
113,101.9916137,2.582994543,87.0543,15,4
114,101.9916137,2.585051136,82.96934,10,4
115,101.9916147,2.583486668,83.12852,12,4
116,101.9916175,2.585137161,81.01621,10,4
117,101.9916206,2.583132752,87.21543,15,4
118,101.9916221,2.582877518,85.38731,13,4
119,101.9916221,2.585279502,75.95957,10,4
120,101.9916229,2.583692043,81.6041,12,4
121,101.9916232,2.582431893,79.44981,14,4
122,101.9916255,2.584482802,84.73203,11,4
123,101.9916255,2.58474191,85.80332,11,4
124,101.9916273,2.584812177,85.81309,11,4
125,101.9916322,2.583065068,87.1627,15,4
126,101.9916322,2.585447161,72.14414,10,4
127,101.9916378,2.58381501,80.71543,12,4
128,101.9916381,2.584297835,83.54551,12,4
129,101.9916386,2.584972861,84.72324,10,4
130,101.9916391,2.58363366,81.88438,12,4
131,101.9916391,2.58489226,85.39902,10,4
132,101.9916463,2.584396777,84.09434,11,4
133,101.9916486,2.582590768,81.30527,14,4
134,101.9916563,2.582939777,85.66563,13,4
135,101.9916581,2.583563652,81.97617,12,4
136,101.9916601,2.583207668,85.6793,15,4
137,101.9916655,2.58409866,81.19395,11,4
138,101.9916658,2.584639094,85.60313,11,4
139,101.9916671,2.584578902,85.21836,11,4
140,101.9916686,2.584539894,85.11973,11,4
141,101.9916689,2.582352585,77.32285,14,4
142,101.9916722,2.585380511,73.96738,10,4
143,101.9916725,2.582482268,79.52793,14,4
144,101.9916766,2.583879852,79.82969,12,4
145,101.9916781,2.584457485,84.00938,11,4
146,101.9916784,2.583415885,83.29649,13,4
147,101.9916807,2.584354152,83.57188,11,4
148,101.9916815,2.585069736,83.1002,10,4
149,101.991682,2.583682485,80.5211,12,4
150,101.9916851,2.585151886,81.05723,10,4
151,101.9916866,2.583005393,85.69785,13,4
152,101.9916899,2.584848344,85.65391,10,4
153,101.9916905,2.585304044,76.12461,10,4
154,101.9916912,2.582656126,81.3082,14,4
155,101.9916928,2.583144893,85.92051,15,4
156,101.991693,2.583622035,80.90195,12,4
157,101.9916946,2.584733385,85.88828,11,4
158,101.9916946,2.585476352,71.58164,10,4
159,101.9916966,2.582771343,82.90879,13,4
160,101.9916971,2.58381346,79.63535,12,4
161,101.9916974,2.583337093,84.01524,13,4
162,101.9917015,2.583075402,85.96445,13,4
163,101.9917072,2.584159627,81.1666,11,4
164,101.9917092,2.584978286,84.85801,10,4
165,101.99171,2.58349726,82.08945,12,4
166,101.991712,2.584015219,79.27988,12,4
167,101.9917143,2.582542976,79.26817,14,4
168,101.9917179,2.583741902,79.57578,12,4
169,101.9917187,2.582405801,77.28867,14,4
170,101.9917215,2.585242561,78.90586,10,4
171,101.9917226,2.584409694,83.4586,11,4
172,101.9917285,2.584513802,84.1002,11,4
173,101.9917305,2.58466441,85.53867,11,4
174,101.9917334,2.582706243,81.40098,13,4
175,101.9917339,2.583281552,84.74766,13,4
176,101.9917341,2.584601894,85.0709,11,4
177,101.9917352,2.585409186,74.27598,10,4
178,101.9917359,2.583679385,79.98106,12,4
179,101.9917372,2.584787119,85.63828,11,4
180,101.9917423,2.583402968,83.15098,13,4
181,101.9917423,2.585139744,81.41758,10,4
182,101.9917459,2.584087035,79.69199,11,4
183,101.9917465,2.582820427,83.05235,13,4
184,101.9917475,2.584218269,81.29453,11,4
185,101.9917477,2.583572177,81.01426,12,4
186,101.9917524,2.585063536,83.1627,10,4
187,101.9917544,2.584841369,85.63242,10,4
188,101.991756,2.582600843,79.45567,14,4
189,101.9917583,2.585330652,76.42832,10,4
190,101.9917593,2.583886569,78.45957,12,4
191,101.9917614,2.583324693,84.00938,13,4
192,101.9917624,2.583811135,78.66856,12,4
193,101.991765,2.585214661,79.88535,10,4
194,101.9917652,2.582460568,77.30137,14,4
195,101.9917657,2.584468077,83.1334,11,4
196,101.9917673,2.582908002,84.09727,13,4
197,101.9917678,2.585496244,71.93027,10,4
198,101.9917693,2.584877535,85.34141,10,4
199,101.9917714,2.583492093,81.98887,12,4
200,101.9917768,2.583764635,78.81797,12,4
201,101.9917768,2.583953219,78.33555,12,4
202,101.991777,2.584954002,84.83457,10,4
203,101.9917773,2.583203277,85.26426,13,4
204,101.9917801,2.584553844,83.95664,11,4
205,101.9917804,2.584281302,81.35801,11,4
206,101.9917822,2.584716077,85.26719,11,4
207,101.9917845,2.585251344,78.88731,10,4
208,101.9917847,2.584141802,79.79649,11,4
209,101.991787,2.583643993,80.01035,12,4
210,101.9917891,2.58274861,81.37852,13,4
211,101.9917924,2.584643744,84.89414,11,4
212,101.9917983,2.585028661,83.40488,10,4
213,101.9918007,2.582653285,79.44981,14,4
214,101.9918022,2.584024777,78.05918,11,4
215,101.991804,2.585430369,74.19004,10,4
216,101.9918058,2.583240735,85.12656,13,4
217,101.9918078,2.583398318,83.09434,13,4
218,101.9918107,2.582515851,77.42246,14,4
219,101.991812,2.583581735,80.66172,12,4
220,101.9918127,2.584522585,83.15977,11,4
221,101.991814,2.584833877,85.4293,10,4
222,101.9918158,2.58283696,82.49766,13,4
223,101.9918161,2.58434356,81.45371,11,4
224,101.9918163,2.582908518,83.90781,13,4
225,101.9918179,2.585182369,81.17246,10,4
226,101.9918209,2.584203544,79.70176,11,4
227,101.9918209,2.584773169,85.40879,11,4
228,101.9918281,2.584915769,84.87461,10,4
229,101.9918292,2.585354677,76.15391,10,4
230,101.9918307,2.583335543,84.49863,13,4
231,101.991832,2.583829735,77.99766,12,4
232,101.9918335,2.58469851,84.76817,11,4
