id,x,y,z,flight
1,101.9840879,2.58439471,38.97734,1
2,101.9840889,2.584222919,37.68193,1
3,101.9840895,2.584309977,38.30107,1
4,101.9840941,2.584468335,39.92559,1
5,101.9840974,2.584547127,40.57354,1
6,101.9841226,2.584025035,37.471,1
7,101.984129,2.58410486,37.23125,1
8,101.9841329,2.584191144,37.12969,1
9,101.9841434,2.584268644,37.4207,1
10,101.9841491,2.584345885,37.83525,1
11,101.9841568,2.58442571,38.65996,1
12,101.9841606,2.58450476,39.41289,1
13,101.984185,2.58459621,39.77813,1
14,101.9841902,2.584060427,36.88213,1
15,101.9842002,2.584141802,36.75518,1
16,101.9842089,2.584222402,36.59941,1
17,101.9842143,2.584301452,36.90508,1
18,101.984222,2.584378694,37.14043,1
19,101.9842277,2.584459552,37.6292,1
20,101.9842336,2.584031494,36.45049,1
21,101.9842351,2.584538602,38.31182,1
22,101.9842626,2.584093494,36.18926,1
23,101.9842685,2.584174869,36.07549,1
24,101.9842772,2.584253402,36.27568,1
25,101.9842854,2.584332969,36.29326,1
26,101.9843037,2.58449081,36.95488,1
27,101.9843111,2.584567019,37.77715,1
28,101.9843196,2.584223952,35.80156,1
29,101.9843348,2.584294994,35.72002,1
30,101.9843651,2.584445344,36.09746,1
31,101.9843658,2.584365519,35.57109,1
32,101.9843715,2.584522844,36.63115,1
33,101.9844136,2.58423816,35.16387,1
34,101.9844216,2.584322119,35.08916,1
35,101.9844288,2.584396777,35.2044,1
36,101.9844352,2.584477894,35.58965,1
37,101.9844403,2.584551519,36.075,1
38,101.9844784,2.584189077,34.75274,1
39,101.9844855,2.584272777,34.56914,1
40,101.9844948,2.584350277,34.65703,1
41,101.984502,2.58442881,34.76885,1
42,101.9845115,2.584515352,35.0169,1
43,101.9845431,2.584147485,34.42461,1
44,101.9845503,2.584229377,34.11455,1
45,101.9845593,2.584305069,34.13506,1
46,101.9845624,2.584387994,34.23369,1
47,101.9845739,2.584469369,34.28301,1
48,101.9846065,2.584101502,34.04766,1
49,101.9846135,2.584179777,33.69707,1
50,101.984623,2.584260894,33.70195,1
51,101.984632,2.584338135,33.73027,1
52,101.9846389,2.584422352,33.71953,1
53,101.9846415,2.584502694,33.71367,1
54,101.9846564,2.584146194,33.38555,1
55,101.9846679,2.584052935,33.76836,1
56,101.9846833,2.584210777,33.0794,1
57,101.9846918,2.584292669,33.15899,1
58,101.9847016,2.584375852,33.05938,1
59,101.984707,2.584457744,33.0584,1
60,101.984716,2.58453421,33.1707,1
61,101.9847352,2.58401031,33.12481,1
62,101.9847424,2.584091427,32.72344,1
63,101.9847506,2.584168927,32.56816,1
64,101.9847578,2.584249269,32.51104,1
65,101.984764,2.584329352,32.42754,1
66,101.9847717,2.584408402,32.32012,1
67,101.9847799,2.584491844,32.25664,1
68,101.9847964,2.583961208,32.82598,1
69,101.9848048,2.584042602,32.4124,1
70,101.9848131,2.58412346,31.94839,1
71,101.9848251,2.584203285,31.75283,1
72,101.9848313,2.58427691,31.7062,1
73,101.9848341,2.584361902,31.55801,1
74,101.9848351,2.584436044,31.29629,1
75,101.9848634,2.583915502,32.09307,1
76,101.9848693,2.583996619,31.28164,1
77,101.9848762,2.584072569,30.60977,1
78,101.9849235,2.583869519,31.65103,1
79,101.9849872,2.583821985,30.99575,1
80,101.9840737,2.584138913,37.73955,1
81,101.984074,2.583381527,42.51934,2
82,101.9840753,2.583329602,43.15313,2
83,101.9840766,2.58345231,41.43047,2
84,101.9840818,2.583511468,40.70342,2
85,101.9840861,2.583561585,40.06035,2
86,101.9840895,2.583617643,39.53203,2
87,101.9840938,2.58367706,38.99297,2
88,101.9840949,2.583728985,38.71856,2
89,101.9841072,2.58385996,38.0335,2
90,101.9841095,2.583946244,37.75274,2
91,101.9841264,2.583328827,43.23272,2
92,101.9841375,2.58371736,38.39238,2
93,101.9841439,2.583443785,41.21709,2
94,101.9841444,2.583509918,40.18535,2
95,101.9841452,2.583383852,42.16338,2
96,101.9841452,2.583764118,38.42315,2
97,101.9841516,2.583667502,38.70586,2
98,101.9841524,2.583563135,39.53008,2
99,101.9841598,2.583614285,39.17119,2
100,101.9841794,2.583902069,37.3919,2
101,101.9841827,2.583312552,42.88994,2
102,101.984185,2.583980602,37.12236,2
103,101.9841902,2.58380571,37.89482,2
104,101.9842012,2.583501135,40.11602,2
105,101.984202,2.58364761,38.78057,2
106,101.9842027,2.583688427,38.42119,2
107,101.9842143,2.583363702,42.12236,2
108,101.9842148,2.583425185,40.95342,2
109,101.9842253,2.583549702,39.51543,2
110,101.9842282,2.583946244,36.82647,2
111,101.9842292,2.583603952,38.94512,2
112,101.9842382,2.583775227,37.72783,2
113,101.9842441,2.583852469,37.21074,2
114,101.9842664,2.58347711,40.23223,2
115,101.9842667,2.583654327,38.4959,2
116,101.9842718,2.583332443,42.09404,2
117,101.9842816,2.583400902,40.96123,2
118,101.9842906,2.583526452,39.64385,2
119,101.9843027,2.583727693,37.64678,2
120,101.9843301,2.58361816,38.41729,2
121,101.9843335,2.583443785,40.20879,2
122,101.9843402,2.58328956,42.12774,2
123,101.984342,2.583361893,41.08232,2
124,101.984354,2.58348951,39.49932,2
125,101.9843628,2.583542985,38.9124,2
126,101.984371,2.583683518,37.70684,2
127,101.9843874,2.58323376,42.27715,2
128,101.9843908,2.583580443,38.48906,2
129,101.984392,2.58340426,40.26445,2
130,101.9843969,2.583310485,41.0418,2
131,101.9844034,2.58344301,39.825,2
132,101.9844162,2.583491835,38.97246,2
133,101.9844172,2.583166335,42.05303,2
134,101.9844236,2.583646835,37.65801,2
135,101.9844339,2.583097102,41.88311,2
136,101.9844383,2.583250552,41.05693,2
137,101.9844419,2.583349493,40.21563,2
138,101.984446,2.583531618,38.51738,2
139,101.9844491,2.583027868,42.02764,2
140,101.9844586,2.582961993,42.08379,2
141,101.9844601,2.583437327,39.22686,2
142,101.9844653,2.583181577,41.0252,2
143,101.984482,2.583289043,40.04424,2
144,101.984484,2.583117252,40.929,2
145,101.9844948,2.583482018,38.40166,2
146,101.9844971,2.583064552,40.90654,2
147,101.9844976,2.58337636,39.26543,2
148,101.9844984,2.583011335,40.99981,2
149,101.9845105,2.583224718,40.13359,2
150,101.9845295,2.583311002,39.23906,2
151,101.9845315,2.58315471,40.12725,2
152,101.9845356,2.583422085,38.36113,2
153,101.9845508,2.583090902,40.13604,2
154,101.9845541,2.583254685,39.38359,2
155,101.9845703,2.58320121,39.53252,2
156,101.9845739,2.58335931,38.47295,2
157,101.984585,2.583160393,39.36943,2
158,101.9846127,2.583299635,38.32451,2
159,101.9846322,2.583236085,38.38945,2
160,101.9842982,2.583579139,38.82158,2
161,101.984286,2.58399481,36.33184,3
162,101.9843106,2.583887344,36.66924,3
163,101.9843188,2.583969235,36.38555,3
164,101.984326,2.58404751,35.94463,3
165,101.984334,2.584128885,35.68975,3
166,101.9843797,2.583840327,36.63359,3
167,101.9843846,2.583925319,36.12188,3
168,101.9843931,2.584001269,35.8294,3
169,101.9843967,2.584083935,35.47051,3
170,101.9844072,2.584161177,35.26299,3
171,101.9844339,2.583712452,37.21758,3
172,101.9844434,2.583797702,36.51445,3
173,101.9844501,2.583876494,35.93486,3
174,101.9844558,2.583955285,35.63652,3
175,101.9844642,2.584037694,35.23027,3
176,101.9844712,2.584113127,34.86797,3
177,101.9844999,2.583668793,37.19072,3
178,101.9845051,2.583747327,36.56572,3
179,101.9845102,2.583829735,35.95781,3
180,101.98452,2.583908527,35.36943,3
181,101.9845279,2.583990677,34.89336,3
182,101.9845326,2.584066627,34.48223,3
183,101.9845593,2.583546343,37.53057,3
184,101.9845626,2.583623327,37.28887,3
185,101.9845685,2.583703152,36.575,3
186,101.9845773,2.583785302,35.87432,3
187,101.9845857,2.583862285,35.23516,3
188,101.9845906,2.583942627,34.79326,3
189,101.9845999,2.584024519,34.23711,3
190,101.9846166,2.58350036,37.5252,3
191,101.984625,2.583574243,37.08574,3
192,101.9846335,2.583656135,36.42754,3
193,101.9846392,2.583736735,35.71758,3
194,101.9846487,2.583816818,35.16631,3
195,101.9846553,2.583896385,34.39238,3
196,101.9846636,2.58397776,34.07695,3
197,101.9846795,2.583454635,36.98467,3
198,101.98469,2.583528518,36.61065,3
199,101.9846921,2.583364477,37.36162,3
200,101.9846988,2.58361041,36.15752,3
201,101.9847049,2.583690235,35.554,3
202,101.9847142,2.58377006,34.88457,3
203,101.9847206,2.583855052,34.15117,3
204,101.9847273,2.58393126,33.44365,3
205,101.9847316,2.583246677,37.36748,3
206,101.984745,2.583328568,37.08086,3
207,101.9847522,2.583404518,36.75469,3
