id,x,y,z
1,101.9855094,2.586109967,28.86611
2,101.9852631,2.584240648,29.41673
3,101.9864832,2.584033689,36.2081
4,101.9876419,2.583686368,41.33867
5,101.9886495,2.583452585,47.4365
6,101.98426,2.583968978,36.42705
7,101.9844948,2.582943494,41.50307
9,101.9853773,2.582180831,43.3792
8,101.985543,2.582822973,36.28587
10,101.9869827,2.582044117,42.70656
11,101.9876455,2.582483259,45.73857
12,101.9888777,2.582317871,49.14622
13,101.9903924,2.582463975,54.50393
14,101.9898709,2.583036603,56.25566
15,101.9899594,2.584021347,57.24383
16,101.9908699,2.584916092,64.94868
17,101.9918629,2.584766093,85.24709
18,101.9917527,2.583068103,85.47676
19,101.9913267,2.583088728,89.30723
