id,x,y,z,flight
1,100.5384276,5.253496902,234.91914,1
2,100.5385199,5.253508016,234.99922,1
3,100.5385132,5.253636538,236.13985,1
4,100.5384086,5.253698334,236.37227,1
5,100.5384844,5.253763848,237.68477,1
6,100.5383928,5.253808736,236.61446,1
7,100.5384878,5.253857813,238.425,1
8,100.5383794,5.253921291,236.4543,1
9,100.5384758,5.253976668,238.47383,2
10,100.5383707,5.254027936,235.93282,2
11,100.5384631,5.254089536,237.86055,2
12,100.5383603,5.254129142,235.49922,2
13,100.538466,5.254221855,236.75313,2
14,100.5383461,5.254217471,234.99727,2
15,100.5386103,5.253512556,233.07149,1
16,100.538616,5.253627028,233.89766,1
17,100.5386807,5.253704283,233.87032,1
18,100.5386016,5.253736648,236.40547,1
19,100.5386655,5.253779776,236.12422,1
20,100.5385937,5.253836562,238.29219,1
21,100.538692,5.253841532,236.93282,1
22,100.538598,5.253942268,238.71407,2
23,100.5386857,5.253941133,237.58321,2
24,100.5385808,5.254041869,238.75313,2
25,100.5387048,5.254050166,237.15352,2
26,100.5386449,5.254109417,238.01485,2
27,100.5385735,5.254146518,238.08516,2
28,100.5387042,5.254154971,236.41133,2
29,100.5385757,5.254232147,236.8586,2
30,100.5386857,5.254242323,235.82149,2
31,100.538786,5.254239759,233.41328,2
32,100.538857,5.25424154,230.25117,2
33,100.5388007,5.254153523,233.41719,2
34,100.5388741,5.254123311,230.29414,2
35,100.5387994,5.254058423,234.02657,2
36,100.5389079,5.254023514,230.39961,2
37,100.5388198,5.25396211,234.90938,2
38,100.5388212,5.253864074,234.56953,1
39,100.5387581,5.253783846,234.27461,1
40,100.5388841,5.253755903,229.73164,1
41,100.5388159,5.253691564,230.04414,1
42,100.5387365,5.253618419,230.13399,1
43,100.5388713,5.253596502,224.80391,1
44,100.5387083,5.253523788,229.73164,1
45,100.5388029,5.253528015,225.43672,1
46,100.5389178,5.253540069,221.19844,1
47,100.5390383,5.253552592,218.0168,3
48,100.5389431,5.253674265,225.54414,1
49,100.5390396,5.253652662,221.47774,3
50,100.539026,5.253728195,224.48555,3
51,100.5390058,5.253783063,226.92891,3
52,100.5389469,5.253835427,230.20625,1
53,100.5390078,5.253880198,228.81563,1
54,100.538946,5.253941329,230.76485,2
55,100.5390404,5.253976864,227.66914,2
56,100.5389746,5.25404406,227.06367,2
57,100.5389316,5.25414554,227.04219,2
58,100.53901,5.254151801,222.60664,4
59,100.53893,5.25424968,226.77461,2
60,100.539022,5.254257351,221.33711,4
61,100.539138,5.254260951,213.65352,4
62,100.5391784,5.254184636,214.96016,4
63,100.5390804,5.254168395,218.90547,4
64,100.5390743,5.254077052,223.00899,4
65,100.5391727,5.254052475,222.93672,4
66,100.5391766,5.254117205,219.56367,4
67,100.5391533,5.253973068,225.38008,4
68,100.5390752,5.253876128,227.37813,3
69,100.5391801,5.253864583,224.82344,3
70,100.5391154,5.253782437,224.3625,3
71,100.5391485,5.253714889,221.34688,3
72,100.5391353,5.253614505,217.93672,3
73,100.5392078,5.253570086,215.1418,3
74,100.5391225,5.253555214,216.13594,3
75,100.5393327,5.253582609,214.09883,3
76,100.5392465,5.253668004,217.83711,3
77,100.5393584,5.253711131,217.33321,3
78,100.5393208,5.253787407,219.85274,3
79,100.5393039,5.253885638,222.1086,3
80,100.5393631,5.254038268,219.75508,4
81,100.53928,5.254107069,219.55586,4
82,100.5392931,5.254191837,215.07344,4
83,100.5392465,5.254248115,211.75703,4
84,100.5393729,5.254260912,213.54414,4
85,100.5394896,5.254261734,210.40547,4
86,100.5394648,5.25419399,213.24336,4
87,100.5393875,5.254154463,216.02657,4
88,100.5394648,5.254057171,216.99727,4
89,100.539416,5.25394489,219.55196,3
90,100.5394529,5.253889302,218.95039,3
91,100.539395,5.253838871,219.83907,3
92,100.539463,5.253747058,217.56172,3
93,100.539416,5.253666673,216.38789,3
94,100.5394617,5.253593998,214.61446,3
95,100.5395667,5.253605582,213.23164,3
96,100.5396888,5.253622019,210.3293,5
97,100.5396169,5.253725064,213.93672,3
98,100.53952,5.25382216,217.24922,3
99,100.539647,5.253825917,213.92696,4
100,100.5395768,5.253883447,215.80782,3
101,100.5395064,5.253946495,216.95235,3
102,100.5396296,5.253932249,213.68672,4
103,100.539657,5.254024649,212.24336,4
104,100.53958,5.254035607,214.48164,4
105,100.5396874,5.254099085,210.43672,4
106,100.5395498,5.25413102,213.58321,4
