id,vertex_index,distance,angle,x,y
1,0,0,182.4628167,100.5384895,5.253857269
1,1,9.37953E-05,254.4707569,100.5384854,5.25376356
1,2,0.000283552,250.154261,100.5383806,5.253921757
1,3,0.00039605,172.5612273,100.5383927,5.253809911
1,4,0.0005092,172.8191045,100.5384099,5.253698065
1,5,0.000611467,174.8628279,100.5384199,5.253596295
1,6,0.000711546,129.5883143,100.538428,5.253496541
1,7,0.000804793,40.3452625,100.5385207,5.253506617
1,8,0.000934968,18.93719521,100.5385136,5.2536366
1,9,0.001067104,48.74712435,100.5386003,5.253736355
1,10,0.001145634,72.01213913,100.5386658,5.253779682
1,11,0.001238423,155.7008175,100.5387585,5.253783713
1,12,0.00134888,222.030384,100.5386819,5.253704111
1,13,0.001450415,201.3628651,100.5386164,5.253626524
1,14,0.001563381,133.6001625,100.5386114,5.25351367
1,15,0.001660537,50.53318123,100.5387081,5.253522739
1,16,0.001760332,80.08417488,100.5387363,5.253618463
1,17,0.001872789,94.58528384,100.5388028,5.253527777
1,18,0.001968978,92.75826027,100.5388714,5.253595288
1,19,0.002041226,75.40828183,100.5389177,5.253539869
1,20,0.002176596,324.4272754,100.5389429,5.253672875
1,21,0.002304845,343.0714449,100.5388159,5.253691012
1,22,0.002399738,43.06898474,100.5388865,5.253754492
1,23,0.002500927,45.39599312,100.5389489,5.253834094
1,24,0.002575695,339.0156704,100.5390084,5.253879437
1,25,0.002762717,262.1141136,100.538822,5.253864322
1,26,0.00289314,263.274984,100.538694,5.253839132
1,27,0.002992976,267.6862775,100.5385943,5.253835101
2,0,0,296.5650512,100.5384764,5.253975161
2,1,0.000117162,325.427229,100.5383716,5.254027557
2,2,0.000218426,352.6749209,100.5383615,5.254128319
2,3,0.000309207,39.5594743,100.5383474,5.254217997
2,4,0.000428175,134.6802331,100.5384663,5.254222028
2,5,0.000561215,146.5097982,100.5384633,5.254089022
2,6,0.000689199,77.24899412,100.5385822,5.254041664
2,7,0.000781179,349.998228,100.5386446,5.254109174
2,8,0.000860494,328.949086,100.5385741,5.254145448
2,9,0.00094514,42.25594265,100.5385751,5.254230089
2,10,0.001057638,126.386706,100.538687,5.25424218
2,11,0.001146959,129.7671221,100.5387041,5.254154517
2,12,0.001244703,40.40412509,100.5388018,5.254153509
2,13,0.001333659,40.51802422,100.5387867,5.254241172
2,14,0.0014042,86.56120187,100.5388572,5.254240165
2,15,0.001479442,130.8711215,100.5389318,5.254250241
2,16,0.001582224,168.6271407,100.5389328,5.254147464
2,17,0.001694305,146.1925997,100.5389751,5.254043679
2,18,0.00178907,191.6448042,100.5390426,5.253977176
