id,x,y,z,flight,highest po,Tree Heigh
16,100.5394702,5.256371839,180.83125,2,204.3,23.46875
17,100.5394529,5.25631971,180.82735,2,204.3,23.47265
18,100.5395204,5.256330825,179.61641,2,204.3,24.68359
19,100.5394124,5.25638718,181.13985,2,204.3,23.16015
20,100.5395063,5.256393912,180.24336,2,204.3,24.05664
21,100.5393814,5.256351019,181.70821,2,199,17.29179
22,100.5393133,5.256425292,181.09688,2,203.9,22.80312
23,100.5393292,5.25639317,181.20625,2,203.9,22.69375
24,100.5394786,5.256447449,180.61836,2,202,21.38164
25,100.5394097,5.256452615,181.0461,2,202,20.9539
26,100.5393543,5.256480793,180.78047,2,196.7,15.91953
27,100.5392987,5.256480793,180.05391,2,192,11.94609
28,100.5393319,5.256529948,179.37813,2,196.7,17.32187
29,100.5393779,5.25654435,179.16914,2,196.7,17.53086
44,100.5391823,5.256537772,176.05977,2,199.9,23.84023
45,100.5391002,5.256539654,173.14375,2,198.6,25.45625
46,100.5391216,5.256372812,176.11055,2,193.8,17.68945
47,100.5391545,5.256392659,177.15157,2,193.8,16.64843
48,100.5391266,5.256413166,175.83321,2,193.8,17.96679
49,100.5392425,5.256386241,179.53438,2,186.9,7.36562
85,100.5392955,5.256132161,183.14375,1,200,16.85625
86,100.5394389,5.256136609,180.59492,1,200,19.40508
87,100.5393976,5.256144654,181.59688,1,200,18.40312
88,100.539378,5.256214031,181.78828,1,201,19.21172
89,100.5390455,5.256002978,185.96407,1,206.9,20.93593
90,100.5390666,5.256111598,182.14766,1,192.9,10.75234
91,100.5390882,5.256155985,180.76875,1,192.9,12.13125
92,100.5391594,5.256130393,183.06758,1,200.9,17.83242
93,100.5390974,5.25620797,179.49141,1,196,16.50859
101,100.5392249,5.256099888,183.66719,1,201.9,18.23281
111,100.5392266,5.256523815,177.4836,2,199.9,22.4164
112,100.53929,5.256398547,180.86446,2,203.9,23.03554
113,100.5390482,5.256035381,185.00117,1,206.9,21.89883
114,100.5393847,5.256112122,181.89766,1,200,18.10234
115,100.5394294,5.256105501,180.82735,1,200,19.17265
117,100.5393224,5.256157866,182.30977,1,200,17.69023
