no,x,y,z,flight
1,100.539378,5.256214031,181.78828000000001,1.0
2,100.53943890000001,5.2561366089999995,180.59492,1.0
3,100.53942940000002,5.256105501,180.82735,1.0
4,100.53939759999999,5.256144654,181.59688,1.0
5,100.53938470000001,5.256112122,181.89766,1.0
6,100.5393224,5.256157866000001,182.30977,1.0
7,100.5392955,5.256132161,183.14375,1.0
8,100.53922490000001,5.2560998880000005,183.66718999999998,1.0
9,100.5391594,5.256130393,183.06758,1.0
10,100.5390455,5.256002978,185.96407,1.0
11,100.53904820000001,5.256035381,185.00117,1.0
12,100.5390666,5.256111598,182.14766,1.0
13,100.5390882,5.256155985,180.76875,1.0
14,100.5390974,5.25620797,179.49141,1.0
1,100.5395204,5.256330825,179.61641,2.0
2,100.53945290000001,5.25631971,180.82735,2.0
3,100.53947020000001,5.256371839,180.83125,2.0
4,100.5395063,5.256393912,180.24336,2.0
5,100.5394124,5.25638718,181.13985,2.0
6,100.5393814,5.256351018999999,181.70821,2.0
7,100.5393292,5.25639317,181.20625,2.0
8,100.53931329999999,5.256425292,181.09688,2.0
9,100.53929000000001,5.256398547,180.86446,2.0
10,100.5392425,5.256386241,179.53438,2.0
11,100.53915450000001,5.256392658999999,177.15157,2.0
12,100.53912659999999,5.256413166000001,175.83321,2.0
13,100.53912159999999,5.2563728119999995,176.11055,2.0
14,100.5391002,5.256539654,173.14375,2.0
15,100.5391823,5.256537772,176.05977,2.0
16,100.53922659999999,5.256523815,177.4836,2.0
17,100.5392987,5.256480793,180.05391,2.0
18,100.53933190000001,5.256529948,179.37813,2.0
19,100.5393543,5.256480793,180.78047,2.0
20,100.5393779,5.25654435,179.16914,2.0
21,100.53940970000001,5.256452615,181.0461,2.0
22,100.5394786,5.2564474489999995,180.61836,2.0
